2theta in degrees,after debinding and sintering,normalized
24.8,550.123,24.16595
24.82,551.568,24.22942
24.84,575.184,25.26683
24.86,587.086,25.78967
24.88,589.081,25.8773
24.9,541.108,23.76993
24.92,586.822,25.77807
24.94,546.276,23.99695
24.96,581.973,25.56506
24.98,560.979,24.64283
25,570.904,25.07882
25.02,573.489,25.19237
25.04,559.061,24.55858
25.06,550.364,24.17653
25.08,543.182,23.86104
25.1,535.742,23.53421
25.12,544,23.89697
25.14,589.008,25.8741
25.16,558.876,24.55045
25.18,575.648,25.28721
25.2,542.143,23.8154
25.22,573.478,25.19189
25.24,585.576,25.72333
25.26,559.514,24.57848
25.28,500.834,22.00077
25.3,522.027,22.93174
25.32,517.219,22.72053
25.34,489.672,21.51044
25.36,545.245,23.95166
25.38,565.575,24.84472
25.4,578.12,25.3958
25.42,544.763,23.93049
25.44,528.792,23.22891
25.46,541.355,23.78078
25.48,569.92,25.03559
25.5,561.495,24.6655
25.52,556.397,24.44155
25.54,591.321,25.9757
25.56,631.362,27.73463
25.58,696.514,30.59665
25.6,761.632,33.45717
25.62,925.512,40.65613
25.64,1140.614,50.10519
25.66,1570.321,68.98147
25.68,1987.441,87.30482
25.7,2016.892,88.59855
25.72,1738.185,76.35544
25.74,1542.231,67.74752
25.76,1312.389,57.65096
25.78,1012.632,44.48316
25.8,787.165,34.57879
25.82,677.207,29.74852
25.84,601.138,26.40695
25.86,538.052,23.63569
25.88,518.256,22.76608
25.9,496.903,21.82808
25.92,511.344,22.46245
25.94,527.484,23.17145
25.96,524.278,23.03062
25.98,508.411,22.33361
26,477.185,20.96191
26.02,443.294,19.47313
26.04,478.044,20.99964
26.06,459.543,20.18692
26.08,471.033,20.69166
26.1,480.38,21.10226
26.12,480.021,21.08649
26.14,497.254,21.8435
26.16,496.411,21.80647
26.18,448.2,19.68865
26.2,489.649,21.50943
26.22,460.615,20.23401
26.24,480.872,21.12387
26.26,470.177,20.65406
26.28,442.923,19.45684
26.3,440.025,19.32953
26.32,449.445,19.74334
26.34,447.718,19.66747
26.36,413.868,18.1805
26.38,407.462,17.8991
26.4,434.222,19.07462
26.42,423.735,18.61394
26.44,448.538,19.70349
26.46,400.031,17.57267
26.48,416.945,18.31567
26.5,409.973,18.0094
26.52,444.831,19.54065
26.54,445.488,19.56951
26.56,415.527,18.25338
26.58,419.872,18.44425
26.6,472.008,20.73449
26.62,455.423,20.00594
26.64,420.03,18.45119
26.66,406.446,17.85446
26.68,432.381,18.99374
26.7,426.331,18.72798
26.72,409.744,17.99934
26.74,413.494,18.16407
26.76,405.052,17.79323
26.78,421.056,18.49626
26.8,407.591,17.90476
26.82,418.397,18.37945
26.84,397.611,17.46636
26.86,405.789,17.8256
26.88,402.275,17.67124
26.9,410.16,18.01761
26.92,378.632,16.63264
26.94,364.393,16.00715
26.96,403.217,17.71262
26.98,389.339,17.10298
27,385.566,16.93724
27.02,399.645,17.55571
27.04,375.576,16.4984
27.06,395.768,17.3854
27.08,381.719,16.76825
27.1,398.023,17.48446
27.12,350.037,15.37652
27.14,369.459,16.22969
27.16,394.523,17.33071
27.18,358.952,15.76814
27.2,359.291,15.78303
27.22,373.666,16.4145
27.24,378.929,16.64569
27.26,343.711,15.09863
27.28,340.994,14.97927
27.3,320.476,14.07795
27.32,339.886,14.9306
27.34,335.567,14.74087
27.36,346.475,15.22004
27.38,349.122,15.33632
27.4,363.056,15.94842
27.42,346.026,15.20032
27.44,331.454,14.5602
27.46,337.945,14.84534
27.48,353.143,15.51296
27.5,335.692,14.74636
27.52,309.472,13.59457
27.54,361.259,15.86948
27.56,344.602,15.13777
27.58,320.385,14.07395
27.6,308.989,13.57335
27.62,333.236,14.63848
27.64,355.399,15.61206
27.66,339.955,14.93363
27.68,314.175,13.80116
27.7,325.811,14.31231
27.72,313.349,13.76488
27.74,312.418,13.72398
27.76,294.897,12.95431
27.78,282.819,12.42375
27.8,322.915,14.18509
27.82,296.859,13.0405
27.84,321.052,14.10326
27.86,318.96,14.01136
27.88,294.269,12.92672
27.9,295.713,12.99016
27.92,298.968,13.13314
27.94,296.56,13.02736
27.96,313.979,13.79255
27.98,305.869,13.43629
28,318.204,13.97815
28.02,338.449,14.86748
28.04,312.176,13.71335
